District,Crop,Sowing_Window,Current_Rain_3D_mm,Avg_Temp_3D_C,Advice
Amritsar,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Bathinda,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Firozpur,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Ludhiana,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Moga,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Sangrur,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Patiala,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Jalandhar,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Hoshiarpur,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Kapurthala,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Mansa,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Barnala,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Rupnagar,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Fazilka,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
Gurdaspur,Wheat,Nov 10–30,N/A,N/A,🌾 Wheat: Best time is Nov 10–30 — November recommended
