District,Crop,DAP_bags_per_acre,Urea_bags_per_acre,MOP_bags_per_acre,Zinc_Sulfate_bags_per_acre,Soil_OC_%,N_Explanation,P_Explanation,K_Explanation,Zn_Explanation
Amritsar,Wheat,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Rice,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Maize,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Bajra,1.22,0.0,0.24,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Moong,1.63,0.0,0.24,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Arhar,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Barnala,Wheat,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Rice,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Maize,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Bajra,1.22,0.0,0.32,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Moong,1.63,0.0,0.32,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Arhar,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Wheat,2.49,0.0,0.49,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Rice,2.49,0.0,0.49,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Maize,2.49,0.0,0.49,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
