District,Crop,N_kg/ha,P_kg/ha,K_kg/ha,Zn_Sulfate_kg/ha,Soil_OC_%,N_Explanation,P_Explanation,K_Explanation,Zn_Explanation
Amritsar,Wheat,90.0,60.0,30.0,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Rice,90.0,60.0,30.0,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Maize,112.5,60.0,30.0,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Bajra,45.0,30.0,15.0,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Moong,15.0,40.0,15.0,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Arhar,15.0,60.0,30.0,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Barnala,Wheat,90.0,60.0,40.0,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Rice,90.0,60.0,40.0,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Maize,112.5,60.0,40.0,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Bajra,45.0,30.0,20.0,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Moong,15.0,40.0,20.0,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Arhar,15.0,60.0,40.0,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Wheat,90.0,60.0,30.0,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Rice,90.0,60.0,30.0,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Maize,112.5,60.0,30.0,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Bajra,45.0,30.0,15.0,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Moong,15.0,40.0,15.0,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Arhar,15.0,60.0,30.0,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Faridkot,Wheat,90.0,60.0,40.0,5.0,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Rice,90.0,60.0,40.0,5.0,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Maize,112.5,60.0,40.0,5.0,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Bajra,45.0,30.0,20.0,5.0,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Moong,15.0,40.0,20.0,5.0,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Arhar,15.0,60.0,40.0,5.0,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fatehgarh Sahib,Wheat,90.0,60.0,30.0,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Rice,90.0,60.0,30.0,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Maize,112.5,60.0,30.0,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Bajra,45.0,30.0,15.0,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Moong,15.0,40.0,15.0,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Arhar,15.0,60.0,30.0,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fazilka,Wheat,120.0,60.0,40.0,5.0,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Rice,120.0,60.0,40.0,5.0,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Maize,150.0,60.0,40.0,5.0,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Bajra,60.0,30.0,20.0,5.0,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Moong,20.0,40.0,20.0,5.0,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Arhar,20.0,60.0,40.0,5.0,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Firozpur,Wheat,90.0,45.0,30.0,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Rice,90.0,45.0,30.0,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Maize,112.5,45.0,30.0,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Bajra,45.0,22.5,15.0,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Moong,15.0,30.0,15.0,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Arhar,15.0,45.0,30.0,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Gurdaspur,Wheat,60.0,30.0,20.0,0.0,0.78,Nitrogen is high (370) → Apply 50% dose (avoid overuse),Phosphorus is high (48) → Apply 50% dose (avoid overuse),Potassium is high (340) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Rice,60.0,30.0,20.0,0.0,0.78,Nitrogen is high (370) → Apply 50% dose (avoid overuse),Phosphorus is high (48) → Apply 50% dose (avoid overuse),Potassium is high (340) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Maize,75.0,30.0,20.0,0.0,0.78,Nitrogen is high (370) → Apply 50% dose (avoid overuse),Phosphorus is high (48) → Apply 50% dose (avoid overuse),Potassium is high (340) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Bajra,30.0,15.0,10.0,0.0,0.78,Nitrogen is high (370) → Apply 50% dose (avoid overuse),Phosphorus is high (48) → Apply 50% dose (avoid overuse),Potassium is high (340) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Moong,10.0,20.0,10.0,0.0,0.78,Nitrogen is high (370) → Apply 50% dose (avoid overuse),Phosphorus is high (48) → Apply 50% dose (avoid overuse),Potassium is high (340) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Arhar,10.0,30.0,20.0,0.0,0.78,Nitrogen is high (370) → Apply 50% dose (avoid overuse),Phosphorus is high (48) → Apply 50% dose (avoid overuse),Potassium is high (340) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.7 ppm) → No Zn needed
Hoshiarpur,Wheat,60.0,30.0,20.0,0.0,0.7,Nitrogen is high (350) → Apply 50% dose (avoid overuse),Phosphorus is high (40) → Apply 50% dose (avoid overuse),Potassium is high (300) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Rice,60.0,30.0,20.0,0.0,0.7,Nitrogen is high (350) → Apply 50% dose (avoid overuse),Phosphorus is high (40) → Apply 50% dose (avoid overuse),Potassium is high (300) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Maize,75.0,30.0,20.0,0.0,0.7,Nitrogen is high (350) → Apply 50% dose (avoid overuse),Phosphorus is high (40) → Apply 50% dose (avoid overuse),Potassium is high (300) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Bajra,30.0,15.0,10.0,0.0,0.7,Nitrogen is high (350) → Apply 50% dose (avoid overuse),Phosphorus is high (40) → Apply 50% dose (avoid overuse),Potassium is high (300) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Moong,10.0,20.0,10.0,0.0,0.7,Nitrogen is high (350) → Apply 50% dose (avoid overuse),Phosphorus is high (40) → Apply 50% dose (avoid overuse),Potassium is high (300) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Arhar,10.0,30.0,20.0,0.0,0.7,Nitrogen is high (350) → Apply 50% dose (avoid overuse),Phosphorus is high (40) → Apply 50% dose (avoid overuse),Potassium is high (300) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.5 ppm) → No Zn needed
Jalandhar,Wheat,60.0,45.0,20.0,0.0,0.65,Nitrogen is high (320) → Apply 50% dose (avoid overuse),Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Rice,60.0,45.0,20.0,0.0,0.65,Nitrogen is high (320) → Apply 50% dose (avoid overuse),Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Maize,75.0,45.0,20.0,0.0,0.65,Nitrogen is high (320) → Apply 50% dose (avoid overuse),Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Bajra,30.0,22.5,10.0,0.0,0.65,Nitrogen is high (320) → Apply 50% dose (avoid overuse),Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Moong,10.0,30.0,10.0,0.0,0.65,Nitrogen is high (320) → Apply 50% dose (avoid overuse),Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Arhar,10.0,45.0,20.0,0.0,0.65,Nitrogen is high (320) → Apply 50% dose (avoid overuse),Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.2 ppm) → No Zn needed
Kapurthala,Wheat,60.0,30.0,20.0,0.0,0.75,Nitrogen is high (360) → Apply 50% dose (avoid overuse),Phosphorus is high (45) → Apply 50% dose (avoid overuse),Potassium is high (320) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.6 ppm) → No Zn needed
Kapurthala,Rice,60.0,30.0,20.0,0.0,0.75,Nitrogen is high (360) → Apply 50% dose (avoid overuse),Phosphorus is high (45) → Apply 50% dose (avoid overuse),Potassium is high (320) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.6 ppm) → No Zn needed
