District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Gurdaspur,0,0,0,0,0,0,0,0,0,0,0,(d),0,(d),0,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
Pathankot,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,0.1,0.1,0.3,0.3,0.4,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,1.1,1.4,1.3,1.1,1.4,1.3,0.7,1.3,2.4,0.8,0.7,0.4,0.4,0.8,0.9,1,0.9,1,1.5,1.5
Tarn Taran,0.1,0.2,0.4,0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.5,1.1,0.8,0.8,0.8.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,0,0,0,0,0,0,0,0,0,0,0,(d),0,(d),0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0.1,0,0,0,(b),0,0.1,0.1,0.1,0.1
Jalandhar,0.2,0.4,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.6,0.6,0.8,0.7,1,0.9,1.1,1.2,1.4,1.2,0.9,1.1,0.6,0.4,0.3,0.4,0.8,0.4,0.5,0.4,0.8,0.8,0.5,1,0.9,1,1.5,1.6
SBS Nagar,0,0,0,0,0,0,0,0,0,0,0,(d),0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.3,0.5,0.5,0.6,0.7,0.8
Rupnagar,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.6,0.8,1,2,1.2,1.9,1.7,1.2,2,1.5,1.9,2.3,2.3,2.2,2.9
SAS Nagar,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
