District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,2337,2394,2652,2600,2297,2139,4181,2967,2140,2500,2500,2771,2222,2292,2146,2272,2314,2312,2429,1526,2048,2158,2092,2200,1671,1524,1548,1542,1148,1545,1598,1232,1484,1192,1350,1934,1405,1814,1905,1352,1535,1475,1104,1132,1000,472,710,1970,1330,1153,1030,1116,1018,1000,1280
Pathankot,4054,3685,2997,2031,2348,2740,2222,2310,3063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,3665,3581,3191,3513,2654,3191,0,3518,3748,2555,5575,2948,3806,3857,4867,4564,0,3191,3146,1696,2484,2273,2407,2368,1914,2590,2040,2478,2210,2491,2274,2275,2106,1393,2133,2144,2286,2044,1967,1950,1991,1698,1698,1637,1546,270,1343,1821,1254,1655,1602,1805,1425,1292,1440
Tarn Taran,3930,3665,3581,3625,0,0,3683,0,3898,3680,3981,3693,3414,3403,3143,1948,3471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,4096,6071,5652,5251,5766,2237,2488,3789,6616,4683,6001,5608,4609,3608,4472,3849,2980,3086,3653,2571,3430,2931,3357,2765,2596,2575,2271,2284,5457,2140,2711,1611,1928,907,1300,2358,2297,1747,2457,2281,1959,2091,1815,1236,1732,1229,1680,2019,1557,1560,1535,1721,1333,1533,1800
Jalandhar,3652,4845,4244,4440,4660,5552,4119,3674,32216,3311,4598,3856,3512,3402,3785,3154,3321,2949,3418,2786,3031,3273,2949,2610,2492,2709,2081,2340,2598,2876,2136,1913,2595,1254,1950,2231,1874,2074,2068,2141,2217,1737,2071,1643,1649,1239,1544,1712,1343,1678,1833,1541,1409,1464,1602
SBS Nagar,5338,5692,4367,4051,4069,4485,3549,4384,4196,4178,3919,4050,3503,3957,4356,3806,2844,2674,3591,2010,2829,3123,2550,2387,2175,2152,2081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,4076,3238,3599,3669,3510,3786,3683,3769,3936,4060,4080,3823,3582,3462,3289,3305,2612,2886,2829,2060,2912,2779,2680,2245,2209,2087,1749,1828,1766,2411,1954,1957,1758,1210,1252,1949,1147,2012,1868,1474,1892,1541,1843,1820,1329,1256,1298,1533,1348,1447,1244,1345,1342,1080,1558
Rupnagar,3161,3836,3575,3767,4149,3758,3723,2887,3235,3221,3834,3315,3050,3348,3278,3529,2790,2407,2834,1772,2268,2488,2426,1991,1745,1938,1645,1497,1529,1923,1799,1363,1721,911,1236,1726,1719,1948,1520,1124,1738,1290,1557,1109,909,827,1214,1472,1456,1086,1106,1299,1236,1032,1030
SAS Nagar,4026,3346,2885,3723,4180,3909,4286,3692,4848,2983,3975,3953,3730,3733,3539,2502,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,2827,4834,4198,3925,3823,3320,5719,6952,7191,2675,2995,3536,4407,3566,3208,4282,3454,3074,3283,3178,3408,4219,3122,3278,2374,2702,2063,2136,2011,2671,1803,1894,2219,1266,2115,2484,1853,1646,1987,2438,2006,1871,1798,2079,2100,1776,2051,2001,1759,2132,1858,2044,2121,2138,2492
Ferozepur,3930,3665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122,0,0,1856,1737,2564,1617,1072,544,1246,1763,2230,1774,1558,2039,1549,1180,831,800,830,445,1428,1457,637,1028,1298,1331,1408,1563,1880
Fazilka,2641,2100,2845,2624,3708,3835,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131,1213,2422,1361,1372,2068,1754,1774,1621,1269,1293,1502,1538,806,1168,1198,694,1383,NA,NA,NA,NA,NA
Sri Muktsar Sahib,0,3665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,2793,2577,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,5050,2230,3581,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2982,2040,2722,2793,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,3930,3665,0,0,0,0,0,3652,0,0,0,0,0,0,0,0,0,0,2982,2040,0,2793,0,0,0,0,0,0,0,0,0,1786,1340,231,1035,2021,1546,688,584,1411,1687,1018,1366,1059,1565,954,951,1681,1261,1647,1942,1263,1374,1333,1235
Mansa,3930,0,3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,0,1856,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,3930,3665,3581,3625,0,3332,3683,3652,3898,0,0,0,,3403,0,2587,1950,2738,2982,2040,2722,2793,2577,0,2094,2027,1820,1524,1599,1657,1676,1963,1794,688,2170,1704,1661,1566,1529,2051,1494,1388,1661,1598,1469,1300,1680,1636,1079,1866,1793,1698,1249,1508,1482
Barnala,3930,3665,3581,0,0,0,0,0,0,0,0,0,0,0,0,2587,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,3000,2803,2781,2448,3810,5246,3099,5447,4867,4149,6285,3516,2980,2990,3621,2373,2310,2156,2912,1431,2294,2821,3050,2273,1903,2076,1511,1557,1497,2028,2089,1523,1557,1571,1747,2051,1420,1720,1272,1042,1137,1800,1643,1407,1522,977,1010,1686,1373,1409,1582,1477,1542,1352,1404
Fatehgarh Sahib,4146,3665,3581,3625,0,0,3968,3652,3898,0,0,0,3414,3403,3272,3608,0,4287,3331,2925,3222,3438,2759,2454,2051,2069,1676,1322,2167,2297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,3930,3665,3581,3625,3712,3835,3683,3652,3898,3680,3981,3693,3414,3403,3408,3123,2726,2738,2982,2040,2722,2793,2577,2286,2094,2122,1793,1861,1856,2297,1962,1786,1902,1176,1566,2021,1586,1899,1830,1778,1837,1601,1722,1612,1527,1144,1466,1723,1348,1612,1564,1555,1464,1440,1627
